who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
7,245,0,0,-14.8384028630434,-15.331853708229328,70,21.33644622837927,0.3048063746911324
23,245,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
20,245,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
9,245,0,0,-14.994374749455636,-15.408549070935697,67,21.50010833922811,0.3208971393914643
22,245,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
25,245,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
27,245,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
15,245,0,0,15.325442069453713,14.519637624088807,36,21.11134887587804,0.5864263576632789
4,245,0,0,-15.127197838002036,-15.49813705005211,64,21.656970389513198,0.3383901623361437
6,245,0,0,15.146706425996323,14.909464831256772,53,21.25358457083889,0.40101102963846963
5,245,0,0,-14.924410106853491,-15.318651894483219,59,21.386891146258375,0.3624896804450572
25,252,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
23,252,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
6,252,0,0,15.146706425996323,14.909464831256772,53,21.25358457083889,0.40101102963846963
22,252,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
9,252,0,0,-14.994374749455636,-15.408549070935697,69,21.50010833922811,0.31159577303229147
5,252,0,0,-14.924410106853491,-15.318651894483219,62,21.386891146258375,0.3449498571977157
4,252,0,0,-15.127197838002036,-15.49813705005211,65,21.656970389513198,0.33318415983866456
8,252,0,0,-14.839145046438858,-15.194484620391128,59,21.238469544403465,0.359974060074635
1,252,0,0,-14.973863911418432,-15.066559765892217,59,21.241888419273874,0.3600320071063368
7,252,0,0,-14.8384028630434,-15.331853708229328,71,21.33644622837927,0.3005133271602714
18,252,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
15,252,0,0,15.325442069453713,14.519637624088807,39,21.11134887587804,0.5413166378430266
3,252,0,0,15.466216237737623,15.416225364001042,37,21.83721248662768,0.5901949320710184
27,252,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
10,252,0,0,15.469599510519085,14.632053329577618,52,21.29332039996242,0.40948693076850806
20,252,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
10,254,0,0,15.469599510519085,14.632053329577618,52,21.29332039996242,0.40948693076850806
18,254,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
7,254,0,0,-14.8384028630434,-15.331853708229328,72,21.33644622837927,0.2963395309497121
4,254,0,0,-15.127197838002036,-15.49813705005211,65,21.656970389513198,0.33318415983866456
27,254,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
16,254,0,0,15.24768550534833,15.021394951164654,44,21.404070163146176,0.486456140071504
20,254,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
8,254,0,0,-14.839145046438858,-15.194484620391128,59,21.238469544403465,0.359974060074635
5,254,0,0,-14.924410106853491,-15.318651894483219,62,21.386891146258375,0.3449498571977157
3,254,0,0,15.466216237737623,15.416225364001042,37,21.83721248662768,0.5901949320710184
1,254,0,0,-14.973863911418432,-15.066559765892217,59,21.241888419273874,0.3600320071063368
6,254,0,0,15.146706425996323,14.909464831256772,53,21.25358457083889,0.40101102963846963
25,254,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
23,254,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
22,254,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
15,254,0,0,15.325442069453713,14.519637624088807,39,21.11134887587804,0.5413166378430266
9,254,0,0,-14.994374749455636,-15.408549070935697,70,21.50010833922811,0.3071444048461158
7,254,0,0,-14.8384028630434,-15.331853708229328,72,21.33644622837927,0.2963395309497121
23,254,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
3,254,0,0,15.466216237737623,15.416225364001042,37,21.83721248662768,0.5901949320710184
1,254,0,0,-14.973863911418432,-15.066559765892217,59,21.241888419273874,0.3600320071063368
16,254,0,0,15.24768550534833,15.021394951164654,44,21.404070163146176,0.486456140071504
10,254,0,0,15.469599510519085,14.632053329577618,52,21.29332039996242,0.40948693076850806
